year,month,day,high,low
2018,10,24,27°,19°
2018,10,25,27°,18°
2018,10,26,28°,20°
2018,10,27,28°,18°
2018,10,28,28°,19°
2018,10,29,25°,18°
2018,10,30,27°,19°
2018,10,31,28°,18°
2018,11,1,28°,18°
2018,11,2,26°,17°
2018,11,3,24°,17°
2018,11,4,25°,15°
2018,11,5,26°,17°
2018,11,6,27°,17°
2018,11,7,28°,18°
2018,11,8,28°,19°
2018,11,9,30°,18°
2018,11,10,25°,18°
2018,11,11,24°,20°
2018,11,12,25°,19°
2018,11,13,26°,19°
2018,11,14,26°,18°
2018,11,15,28°,18°
2018,11,16,29°,19°
2018,11,17,27°,20°
2018,11,18,26°,18°
2018,11,19,23°,18°
2018,11,20,26°,20°
2018,11,21,23°,18°
2018,11,22,27°,17°
2018,11,23,28°,18°
2018,11,24,28°,19°
2018,11,25,27°,19°
2018,11,26,24°,18°
2018,11,27,24°,18°
2018,11,28,25°,18°
2018,11,29,27°,18°
2018,11,30,26°,18°
2018,12,1,26°,20°
2018,12,2,27°,18°
2018,12,3,27°,18°
2018,12,4,27°,20°
2018,12,5,25°,18°
2018,12,6,27°,17°
2018,12,7,25°,18°
2018,12,8,27°,18°
